Date,Comp,Result,home_team,away_team,home_score,away_score,year,month,day,home_team_wins,away_team_wins,draw
2019-09-10,WCQ,D,Yemen,Saudi Arabia,2.0,2.0,2019,9,10,False,False,True
2019-10-10,WCQ,W,Saudi Arabia,Singapore,3.0,0.0,2019,10,10,True,False,False
2019-10-15,WCQ,D,Palestine,Saudi Arabia,0.0,0.0,2019,10,15,False,False,True
2019-11-14,WCQ,W,Uzbekistan,Saudi Arabia,2.0,3.0,2019,11,14,False,True,False
2021-03-30,WCQ,W,Saudi Arabia,Palestine,5.0,0.0,2021,3,30,True,False,False
2021-06-05,WCQ,W,Saudi Arabia,Yemen,3.0,0.0,2021,6,5,True,False,False
2021-06-11,WCQ,W,Singapore,Saudi Arabia,0.0,3.0,2021,6,11,False,True,False
2021-06-15,WCQ,W,Saudi Arabia,Uzbekistan,3.0,0.0,2021,6,15,True,False,False
2021-09-02,WCQ,W,Saudi Arabia,Vietnam,3.0,1.0,2021,9,2,True,False,False
2021-09-07,WCQ,W,Oman,Saudi Arabia,0.0,1.0,2021,9,7,False,True,False
2021-10-07,WCQ,W,Saudi Arabia,Japan,1.0,0.0,2021,10,7,True,False,False
2021-10-12,WCQ,W,Saudi Arabia,China PR,3.0,2.0,2021,10,12,True,False,False
2021-11-11,WCQ,D,Australia,Saudi Arabia,0.0,0.0,2021,11,11,False,False,True
2021-11-16,WCQ,W,Vietnam,Saudi Arabia,0.0,1.0,2021,11,16,False,True,False
2022-01-27,WCQ,W,Saudi Arabia,Oman,1.0,0.0,2022,1,27,True,False,False
2022-02-01,WCQ,L,Japan,Saudi Arabia,2.0,0.0,2022,2,1,True,False,False
2022-03-24,WCQ,D,China PR,Saudi Arabia,1.0,1.0,2022,3,24,False,False,True
2022-03-29,WCQ,W,Saudi Arabia,Australia,1.0,0.0,2022,3,29,True,False,False
2022-06-05,Friendlies (M),L,Saudi Arabia,Colombia,0.0,1.0,2022,6,5,False,True,False
2022-06-09,Friendlies (M),L,Saudi Arabia,Venezuela,0.0,1.0,2022,6,9,False,True,False
2022-09-23,Friendlies (M),D,Saudi Arabia,Ecuador,0.0,0.0,2022,9,23,False,False,True
2022-09-27,Friendlies (M),D,Saudi Arabia,United States,0.0,0.0,2022,9,27,False,False,True
2022-10-30,Friendlies (M),D,Saudi Arabia,Honduras,0.0,0.0,2022,10,30,False,False,True
2022-11-06,Friendlies (M),W,Saudi Arabia,Iceland,1.0,0.0,2022,11,6,True,False,False
2020-10-08,WCQ,W,Argentina,Ecuador,1.0,0.0,2020,10,8,True,False,False
2020-10-13,WCQ,W,Bolivia,Argentina,1.0,2.0,2020,10,13,False,True,False
2020-11-12,WCQ,D,Argentina,Paraguay,1.0,1.0,2020,11,12,False,False,True
2020-11-17,WCQ,W,Peru,Argentina,0.0,2.0,2020,11,17,False,True,False
2021-06-03,WCQ,D,Argentina,Chile,1.0,1.0,2021,6,3,False,False,True
2021-06-08,WCQ,D,Colombia,Argentina,2.0,2.0,2021,6,8,False,False,True
2021-09-02,WCQ,W,Venezuela,Argentina,1.0,3.0,2021,9,2,False,True,False
2021-09-09,WCQ,W,Argentina,Bolivia,3.0,0.0,2021,9,9,True,False,False
2021-10-07,WCQ,D,Paraguay,Argentina,0.0,0.0,2021,10,7,False,False,True
2021-10-10,WCQ,W,Argentina,Uruguay,3.0,0.0,2021,10,10,True,False,False
2021-10-14,WCQ,W,Argentina,Peru,1.0,0.0,2021,10,14,True,False,False
2021-11-12,WCQ,W,Uruguay,Argentina,0.0,1.0,2021,11,12,False,True,False
2021-11-16,WCQ,D,Argentina,Brazil,0.0,0.0,2021,11,16,False,False,True
2022-01-27,WCQ,W,Chile,Argentina,1.0,2.0,2022,1,27,False,True,False
2022-02-01,WCQ,W,Argentina,Colombia,1.0,0.0,2022,2,1,True,False,False
2022-03-25,WCQ,W,Argentina,Venezuela,3.0,0.0,2022,3,25,True,False,False
2022-03-29,WCQ,D,Ecuador,Argentina,1.0,1.0,2022,3,29,False,False,True
2022-06-05,Friendlies (M),W,Argentina,Estonia,5.0,0.0,2022,6,5,True,False,False
2022-09-23,Friendlies (M),W,Argentina,Honduras,3.0,0.0,2022,9,23,True,False,False
2022-09-27,Friendlies (M),W,Argentina,Jamaica,3.0,0.0,2022,9,27,True,False,False
2019-09-10,WCQ,W,Kuwait,Australia ,0.0,3.0,2019,9,10,False,True,False
2019-10-10,WCQ,W,Australia ,Nepal,5.0,0.0,2019,10,10,True,False,False
2019-10-15,WCQ,W,Chinese Taipei,Australia ,1.0,7.0,2019,10,15,False,True,False
2019-11-14,WCQ,W,Jordan,Australia ,0.0,1.0,2019,11,14,False,True,False
2021-06-03,WCQ,W,Australia ,Kuwait,3.0,0.0,2021,6,3,True,False,False
2021-06-07,WCQ,W,Australia ,Chinese Taipei,5.0,1.0,2021,6,7,True,False,False
2021-06-11,WCQ,W,Nepal,Australia ,0.0,3.0,2021,6,11,False,True,False
2021-06-15,WCQ,W,Australia ,Jordan,1.0,0.0,2021,6,15,True,False,False
2021-09-02,WCQ,W,Australia ,China PR,3.0,0.0,2021,9,2,True,False,False
2021-09-07,WCQ,W,Vietnam,Australia ,0.0,1.0,2021,9,7,False,True,False
2021-10-07,WCQ,W,Australia ,Oman,3.0,1.0,2021,10,7,True,False,False
2021-10-12,WCQ,L,Japan,Australia ,2.0,1.0,2021,10,12,True,False,False
2021-11-11,WCQ,D,Australia ,Saudi Arabia,0.0,0.0,2021,11,11,False,False,True
2021-11-16,WCQ,D,China PR,Australia ,1.0,1.0,2021,11,16,False,False,True
2022-01-27,WCQ,W,Australia ,Vietnam,4.0,0.0,2022,1,27,True,False,False
2022-02-01,WCQ,D,Oman,Australia ,2.0,2.0,2022,2,1,False,False,True
2022-03-24,WCQ,L,Australia ,Japan,0.0,2.0,2022,3,24,False,True,False
2022-03-29,WCQ,L,Saudi Arabia,Australia ,1.0,0.0,2022,3,29,True,False,False
2022-06-01,Friendlies (M),W,Australia ,Jordan,2.0,1.0,2022,6,1,True,False,False
2022-06-07,WCQ,W,Australia ,UAE,2.0,1.0,2022,6,7,True,False,False
2022-06-13,WCQ Play-offs,D,Australia ,Peru,0.0,0.0,2022,6,13,False,False,True
2022-09-22,Friendlies (M),W,Australia ,New Zealand,1.0,0.0,2022,9,22,True,False,False
2022-09-25,Friendlies (M),W,New Zealand,Australia ,0.0,2.0,2022,9,25,False,True,False
2021-03-24,WCQ,W,Belgium,Wales,3.0,1.0,2021,3,24,True,False,False
2021-03-27,WCQ,D,Czech Republic,Belgium,1.0,1.0,2021,3,27,False,False,True
2021-03-30,WCQ,W,Belgium,Belarus,8.0,0.0,2021,3,30,True,False,False
2021-09-02,WCQ,W,Estonia,Belgium,2.0,5.0,2021,9,2,False,True,False
2021-09-05,WCQ,W,Belgium,Czech Republic,3.0,0.0,2021,9,5,True,False,False
2021-09-08,WCQ,W,Belarus,Belgium,0.0,1.0,2021,9,8,False,True,False
2021-11-13,WCQ,W,Belgium,Estonia,3.0,1.0,2021,11,13,True,False,False
2021-11-16,WCQ,D,Wales,Belgium,1.0,1.0,2021,11,16,False,False,True
2022-03-26,Friendlies (M),D,Rep. of Ireland,Belgium,2.0,2.0,2022,3,26,False,False,True
2022-03-29,Friendlies (M),W,Belgium,Burkina Faso,3.0,0.0,2022,3,29,True,False,False
2022-06-03,UEFA Nations League,L,Belgium,Netherlands,1.0,4.0,2022,6,3,False,True,False
2022-06-08,UEFA Nations League,W,Belgium,Poland,6.0,1.0,2022,6,8,True,False,False
2022-06-11,UEFA Nations League,D,Wales,Belgium,1.0,1.0,2022,6,11,False,False,True
2022-06-14,UEFA Nations League,W,Poland,Belgium,0.0,1.0,2022,6,14,False,True,False
2022-09-22,UEFA Nations League,W,Belgium,Wales,2.0,1.0,2022,9,22,True,False,False
2022-09-25,UEFA Nations League,L,Netherlands,Belgium,1.0,0.0,2022,9,25,True,False,False
2020-10-09,WCQ,W,Brazil,Bolivia,5.0,0.0,2020,10,9,True,False,False
2020-10-13,WCQ,W,Peru,Brazil,2.0,4.0,2020,10,13,False,True,False
2020-11-13,WCQ,W,Brazil,Venezuela,1.0,0.0,2020,11,13,True,False,False
2020-11-17,WCQ,W,Uruguay,Brazil,0.0,2.0,2020,11,17,False,True,False
2021-06-04,WCQ,W,Brazil,Ecuador,2.0,0.0,2021,6,4,True,False,False
2021-06-08,WCQ,W,Paraguay,Brazil,0.0,2.0,2021,6,8,False,True,False
2021-09-02,WCQ,W,Chile,Brazil,0.0,1.0,2021,9,2,False,True,False
2021-09-09,WCQ,W,Brazil,Peru,2.0,0.0,2021,9,9,True,False,False
2021-10-07,WCQ,W,Venezuela,Brazil,1.0,3.0,2021,10,7,False,True,False
2021-10-10,WCQ,D,Colombia,Brazil,0.0,0.0,2021,10,10,False,False,True
2021-10-14,WCQ,W,Brazil,Uruguay,4.0,1.0,2021,10,14,True,False,False
2021-11-11,WCQ,W,Brazil,Colombia,1.0,0.0,2021,11,11,True,False,False
2021-11-16,WCQ,D,Argentina,Brazil,0.0,0.0,2021,11,16,False,False,True
2022-01-27,WCQ,D,Ecuador,Brazil,1.0,1.0,2022,1,27,False,False,True
2022-02-01,WCQ,W,Brazil,Paraguay,4.0,0.0,2022,2,1,True,False,False
2022-03-24,WCQ,W,Brazil,Chile,4.0,0.0,2022,3,24,True,False,False
2022-03-29,WCQ,W,Bolivia,Brazil,0.0,4.0,2022,3,29,False,True,False
2022-06-02,Friendlies (M),W,Korea Republic,Brazil,1.0,5.0,2022,6,2,False,True,False
2022-06-06,Friendlies (M),W,Japan,Brazil,0.0,1.0,2022,6,6,False,True,False
2022-09-23,Friendlies (M),W,Brazil,Ghana,3.0,0.0,2022,9,23,True,False,False
2022-09-27,Friendlies (M),W,Brazil,Tunisia,5.0,1.0,2022,9,27,True,False,False
2021-09-03,WCQ,W,Cameroon,Malawi,2.0,0.0,2021,9,3,True,False,False
2021-09-06,WCQ,L,Côte d'Ivoire,Cameroon,2.0,1.0,2021,9,6,True,False,False
2021-10-08,WCQ,W,Cameroon,Mozambique,3.0,1.0,2021,10,8,True,False,False
2021-10-11,WCQ,W,Mozambique,Cameroon,0.0,1.0,2021,10,11,False,True,False
2021-11-13,WCQ,W,Malawi,Cameroon,0.0,4.0,2021,11,13,False,True,False
2021-11-16,WCQ,W,Cameroon,Côte d'Ivoire,1.0,0.0,2021,11,16,True,False,False
2022-01-09,Africa Cup of Nations,W,Cameroon,Burkina Faso,2.0,1.0,2022,1,9,True,False,False
2022-01-13,Africa Cup of Nations,W,Cameroon,Ethiopia,4.0,1.0,2022,1,13,True,False,False
2022-01-17,Africa Cup of Nations,D,Cameroon,Cape Verde,1.0,1.0,2022,1,17,False,False,True
2022-01-24,Africa Cup of Nations,W,Cameroon,Comoros,2.0,1.0,2022,1,24,True,False,False
2022-01-29,Africa Cup of Nations,W,Cameroon,Gambia,2.0,0.0,2022,1,29,True,False,False
2022-02-03,Africa Cup of Nations,D,Cameroon,Egypt,0.0,0.0,2022,2,3,False,False,True
2022-02-05,Africa Cup of Nations,D,Cameroon,Burkina Faso,3.0,3.0,2022,2,5,False,False,True
2022-03-25,WCQ,L,Cameroon,Algeria,0.0,1.0,2022,3,25,False,True,False
2022-03-29,WCQ,W,Algeria,Cameroon,1.0,2.0,2022,3,29,False,True,False
2022-06-09,Africa Cup of Nations qualification,W,Cameroon,Burundi,1.0,0.0,2022,6,9,True,False,False
2022-09-23,Friendlies (M),L,Cameroon,Uzbekistan,0.0,2.0,2022,9,23,False,True,False
2022-09-27,Friendlies (M),L,Korea Republic,Cameroon,1.0,0.0,2022,9,27,True,False,False
2021-03-25,WCQ,W,Canada,Bermuda,5.0,1.0,2021,3,25,True,False,False
2021-03-29,WCQ,W,Cayman Islands,Canada,0.0,11.0,2021,3,29,False,True,False
2021-06-05,WCQ,W,Aruba,Canada,0.0,7.0,2021,6,5,False,True,False
2021-06-08,WCQ,W,Canada,Suriname,4.0,0.0,2021,6,8,True,False,False
2021-06-12,WCQ,W,Haiti,Canada,0.0,1.0,2021,6,12,False,True,False
2021-06-15,WCQ,W,Canada,Haiti,3.0,0.0,2021,6,15,True,False,False
2021-09-02,WCQ,D,Canada,Honduras,1.0,1.0,2021,9,2,False,False,True
2021-09-05,WCQ,D,United States,Canada,1.0,1.0,2021,9,5,False,False,True
2021-09-08,WCQ,W,Canada,El Salvador,3.0,0.0,2021,9,8,True,False,False
2021-10-07,WCQ,D,Mexico,Canada,1.0,1.0,2021,10,7,False,False,True
2021-10-10,WCQ,D,Jamaica,Canada,0.0,0.0,2021,10,10,False,False,True
2021-10-13,WCQ,W,Canada,Panama,4.0,1.0,2021,10,13,True,False,False
2021-11-12,WCQ,W,Canada,Costa Rica,1.0,0.0,2021,11,12,True,False,False
2021-11-16,WCQ,W,Canada,Mexico,2.0,1.0,2021,11,16,True,False,False
2022-01-27,WCQ,W,Honduras,Canada,0.0,2.0,2022,1,27,False,True,False
2022-01-30,WCQ,W,Canada,United States,2.0,0.0,2022,1,30,True,False,False
2022-02-02,WCQ,W,El Salvador,Canada,0.0,2.0,2022,2,2,False,True,False
2022-03-24,WCQ,L,Costa Rica,Canada,1.0,0.0,2022,3,24,True,False,False
2022-03-27,WCQ,W,Canada,Jamaica,4.0,0.0,2022,3,27,True,False,False
2022-03-30,WCQ,L,Panama,Canada,1.0,0.0,2022,3,30,True,False,False
2022-09-23,Friendlies (M),W,Canada,Qatar,2.0,0.0,2022,9,23,True,False,False
2022-09-27,Friendlies (M),L,Canada,Uruguay,0.0,2.0,2022,9,27,False,True,False
2021-09-02,WCQ,D,Panama,Costa Rica,0.0,0.0,2021,9,2,False,False,True
2021-09-05,WCQ,L,Costa Rica,Mexico,0.0,1.0,2021,9,5,False,True,False
2021-09-08,WCQ,D,Costa Rica,Jamaica,1.0,1.0,2021,9,8,False,False,True
2021-10-07,WCQ,D,Honduras,Costa Rica,0.0,0.0,2021,10,7,False,False,True
2021-10-10,WCQ,W,Costa Rica,El Salvador,2.0,1.0,2021,10,10,True,False,False
